attack_cat,label,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src__ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
Analysis,1,tp++,INT,5e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930676,1421930676,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,23,18,6,8,6,6,6
Analysis,1,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258895,1424258895,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,5,2,2,5
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258889,1424258889,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,3,3,3,5,2,2,4
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424230391,1424230391,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,4,2,2,4
Analysis,1,unas,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244426,1424244426,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,7,7,5,5,4,4,10
Analysis,1,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223272,1424223272,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,9,9,3,12,3,3,10
Analysis,1,ipcv,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251623,1424251623,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,3,3,3,3,4
Analysis,1,sep,INT,1.1e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930674,1421930674,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,22,17,5,7,4,4,4
Analysis,1,vrrp,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424237347,1424237347,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,16,2,2,4
Analysis,1,rsvp,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258787,1424258787,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,3,2,2,4
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424237408,1424237408,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,4,3,3,3,4
Analysis,1,tcp,FIN,1.962046,848,1248,62,252,2,2,http,3115.115479,4582.971191,10,10,255,255,235687092,561984843,85,125,1,157,16497.28699,374.069344,1424232791,1424232793,218.005111,206.098891,0.145168,0.080971,0.064197,0,1,1.0,0.0, ,1,1,1,1,1,1,1
Analysis,1,unas,INT,7e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424230423,1424230423,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,3,3,1,1,1,1,3
Analysis,1,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251667,1424251667,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,2,2,2,2,2,2,2
Analysis,1,kryptolan,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223204,1424223204,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,6,6,4,13,3,3,6
Analysis,1,unas,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424237413,1424237413,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,2,2,2,4
Analysis,1,micp,INT,1.1e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930705,1421930705,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,9,2,9,2,2,2
Analysis,1,wsn,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251624,1424251624,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,1,1,1,1,4
Analysis,1,unas,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930755,1421930755,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,15,15,4,8,2,2,3
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244428,1424244428,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,12,12,4,4,4,4,14
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424237378,1424237378,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,5,5,3,17,3,3,5
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251677,1424251677,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,2,2,2,2,2,2,2
Analysis,1,tcf,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258816,1424258816,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,7,7,4,6,4,4,7
Analysis,1,tcp,FIN,2.22636,824,1200,62,252,2,2,http,2666.235352,3880.773926,10,10,255,255,1624923709,2747149080,82,120,1,150,14399.66586,416.172625,1424239617,1424239620,247.373333,227.921672,0.235389,0.141835,0.093554,0,1,1.0,0.0, ,1,1,1,1,1,1,1
Analysis,1,wsn,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258810,1424258810,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,3,3,1,2,1,1,3
Analysis,1,tcp,FIN,5.414656,924,1400,62,252,2,2,http,1251.418335,1861.614014,12,10,255,255,1875941445,597935511,77,140,1,233,37050.56422,1006.2975,1424232855,1424232860,492.241443,595.184437,0.096592,0.056819,0.039773,0,1,1.0,0.0, ,1,1,1,2,1,1,1
Analysis,1,iatp,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223235,1424223235,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,5,5,2,8,2,2,5
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258859,1424258859,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,3,3,2,3,2,2,3
Analysis,1,unas,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258883,1424258883,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,7,7,3,4,3,3,7
Analysis,1,idrp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424230238,1424230238,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,1,1,1,1,4
Analysis,1,emcon,INT,3e-06,180,0,254,0,0,0,-,239999984.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424237259,1424237259,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,10,10,11,10,10,10,10
Analysis,1,tcp,FIN,0.455816,840,1216,62,252,2,2,http,13268.51172,18674.20117,10,8,255,255,2853542503,547946547,84,152,1,129,2629.877116,75.586148,1424254526,1424254526,50.646222,51.89557,0.080976,0.058011,0.022965,0,1,4.0,0.0, ,5,6,2,2,2,2,5
Analysis,1,tcp,FIN,2.182258,846,1208,62,252,2,2,http,2793.437012,3988.529541,10,10,255,255,2668037382,510386740,85,121,1,136,14708.21013,420.019625,1424232575,1424232577,242.473111,229.101219,0.191195,0.104995,0.0862,0,1,1.0,0.0, ,1,1,14,1,1,1,1
Analysis,1,sat-expak,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258802,1424258802,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,3,3,2,4,2,2,3
Analysis,1,unas,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244412,1424244412,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,9,9,6,6,5,5,13
Analysis,1,tp++,INT,5e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930676,1421930676,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,23,18,6,8,6,6,6
Analysis,1,tcp,FIN,0.662297,808,1084,62,252,2,2,http,8793.637695,11463.13477,10,8,255,255,2591320758,3541722580,81,136,1,140,3780.395853,142.700344,1424247119,1424247120,73.588556,88.908289,0.089787,0.039195,0.050592,0,1,4.0,0.0, ,3,3,2,3,2,2,3
Analysis,1,unas,INT,6e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424230315,1424230315,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,3,3,2,2,2,2,3
Analysis,1,unas,INT,6e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244409,1424244409,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,11,11,6,6,4,4,14
Analysis,1,wb-expak,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258813,1424258813,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,5,5,2,2,2,2,5
Analysis,1,scps,INT,1.1e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930711,1421930711,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,9,9,7,13,6,6,6
Analysis,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424237397,1424237397,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,2,26,2,2,4
Analysis,1,leaf-2,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258770,1424258770,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,4,4,1,2,1,1,4
Analysis,1,sctp,CON,0.596136,536,440,254,60,0,0,-,5394.742188,2952.34668,4,2,0,0,0,0,134,220,0,0,281.009187,0.0,1424224488,1424224488,198.712,0.008,0.0,0.0,0.0,0,0,0.0,0.0, ,1,1,1,1,1,1,1
Analysis,1,sps,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424244405,1424244405,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0, ,14,14,6,6,5,5,17
Backdoors,1,i-nlsp,INT,7.146575,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930681,1421930681,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,12,12,2,2,2,2,2
Backdoors,1,unas,INT,7e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930775,1421930775,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,10,9,3,7,2,2,3
Backdoors,1,unas,INT,1.1e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930757,1421930757,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,7,2,6,2,2,2
Backdoors,1,tcp,FIN,0.341179,904,268,254,252,2,1,-,19086.75391,5252.374512,10,6,255,255,3778300863,3121333099,90,45,0,0,2422.894997,108.877703,1421932460,1421932460,37.161778,57.951398,0.096962,0.051416,0.045546,0,1,0.0,0.0,0,1,1,1,1,1,1,1
Backdoors,1,ipv6-opts,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930685,1421930685,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,2,3,2,2,2
Backdoors,1,cbt,INT,1.038991,360,0,254,0,0,0,-,2078.940186,0.0,4,0,0,0,0,0,90,0,0,0,489.773031,0.0,1421930643,1421930644,346.330344,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,6,5,4,4,4,4
Backdoors,1,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930756,1421930756,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,15,15,2,3,2,2,2
Backdoors,1,unas,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930749,1421930749,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,6,9,4,4,5
Backdoors,1,unas,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930807,1421930807,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,11,11,4,8,4,4,4
Backdoors,1,trunk-1,INT,4e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930668,1421930668,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,21,16,6,6,6,6,6
Backdoors,1,unas,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930738,1421930738,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,11,11,2,5,2,2,2
Backdoors,1,ospf,INT,8e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930701,1421930701,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,15,12,7,9,6,6,7
Backdoors,1,pup,INT,1.1e-05,180,0,254,0,0,0,-,119999992.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1421930645,1421930645,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,14,15,14,14,14
Backdoors,1,nvp,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1421930645,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,14,15,14,14,14
Backdoors,1,idpr,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930675,1421930675,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,22,17,4,6,4,4,4
Backdoors,1,visa,INT,6e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930690,1421930690,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,12,12,6,6,6,6,6
Backdoors,1,irtp,INT,1e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930671,1421930671,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,21,16,4,6,4,4,4
Backdoors,1,unas,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930735,1421930735,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,11,11,4,8,4,4,4
Backdoors,1,sm,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930718,1421930718,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,13,11,2,6,2,2,2
Backdoors,1,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930805,1421930805,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,11,11,2,6,2,2,2
Backdoors,1,a/n,INT,1.1e-05,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930711,1421930711,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,9,9,7,13,6,6,6
Backdoors,1,tlsp,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930684,1421930684,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,6,6,6,6,6
Backdoors,1,netblt,INT,1.2e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930672,1421930672,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,22,17,4,4,4,4,4
Backdoors,1,any,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930689,1421930689,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,19,18,4,4,4,4,4
Backdoors,1,udp,CON,0.050087,228,91,254,60,0,0,-,27312.47656,7347.21582,4,2,0,0,0,0,57,46,0,0,1.564356,0.0,1421932458,1421932458,1.116667,0.003,0.0,0.0,0.0,0,3,0.0,0.0,0,2,1,5,1,1,1,1
Backdoors,1,snp,INT,7e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930712,1421930712,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,9,9,1,5,1,1,1
Backdoors,1,unas,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930793,1421930793,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,6,5,2,2,2,2,2
Backdoors,1,tcp,FIN,0.552026,364,374,254,252,1,2,-,4622.970703,4753.399414,8,8,255,255,3489713151,3645006572,46,47,0,0,4668.684806,105.64468,1421932110,1421932111,78.750286,69.303859,0.110711,0.066888,0.043823,0,1,0.0,0.0,0,1,1,1,1,1,1,1
Backdoors,1,kryptolan,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930687,1421930687,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,19,18,4,5,4,4,4
Backdoors,1,etherip,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930707,1421930707,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,4,8,4,4,4
Backdoors,1,gmtp,INT,3e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930708,1421930708,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,4,7,4,4,4
Backdoors,1,kryptolan,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930687,1421930687,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,19,18,4,5,4,4,4
Backdoors,1,tcp,FIN,0.330493,624,268,62,252,2,1,http,13603.91895,5422.202637,10,6,255,255,1673875050,2995581196,62,45,0,0,1711.594506,91.211633,1421930986,1421930987,32.752667,58.924801,0.094511,0.035858,0.058653,0,1,0.0,0.0,0,1,1,1,2,1,1,1
Backdoors,1,sprite-rpc,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930702,1421930702,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,15,12,2,7,2,2,2
Backdoors,1,unas,INT,7e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930774,1421930774,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,10,9,2,6,2,2,2
Backdoors,1,ospf,REQ,58.003418,29920,0,254,0,0,0,-,4089.138428,0.0,110,0,0,0,0,0,272,0,0,0,710.735188,0.0,1421933441,1421933499,547.563813,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0,5,3,2,3,2,2,2
Backdoors,1,unas,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930755,1421930755,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,15,15,4,8,2,2,3
Backdoors,1,ipcomp,INT,7e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930712,1421930712,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,13,5,5,5,5,5
Backdoors,1,bbn-rcc,INT,1.1e-05,180,0,254,0,0,0,-,65454544.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1421930645,1421930645,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,14,15,14,14,14
Backdoors,1,unas,INT,6e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930739,1421930739,0.003,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,10,9,4,7,4,4,4
Backdoors,1,unas,INT,1.1e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930763,1421930763,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,16,16,4,11,4,4,4
Backdoors,1,scps,INT,1.1e-05,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930711,1421930711,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,9,9,7,13,6,6,6
Backdoors,1,unas,INT,1.9e-05,200,0,254,0,0,0,-,42105264.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930745,1421930745,0.019,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,10,10,4,11,4,4,4
Backdoors,1,unas,INT,4e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930750,1421930750,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,6,9,6,6,6
Backdoors,1,unas,INT,4e-06,200,0,254,0,0,0,-,114285712.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930754,1421930754,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,15,15,6,11,6,6,6
Backdoors,1,cpnx,INT,6e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930690,1421930690,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,12,12,6,6,6,6,6
Backdoors,1,iso-ip,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930696,1421930696,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,12,12,2,2,2,2,2
