attack_cat,label,time,src,sport,dst,dport
DDoS,1,1540453377.813493,192.168.2.108,-1,46.137.188.54,-1
DDoS,1,1540452378.305429,192.168.2.1,-1,192.168.2.109,-1
DDoS,1,1540452403.897058,192.168.2.103,23,192.168.2.110,21897
DDoS,1,1540452178.999372,192.168.2.110,21897,192.168.2.103,23
DDoS,1,1540451194.301319,192.168.2.1,-1,192.168.2.108,-1
DDoS,1,1540452054.798717,192.168.2.108,-1,122.248.234.207,-1
DDoS,1,1540453454.964422,192.168.2.1,-1,192.168.2.126,-1
DoS,1,1488018359.668931,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018391.923007,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018412.632589,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018377.18374,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018412.069305,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018389.568444,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018370.683102,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018363.210914,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018369.811713,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018409.36535,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018406.244702,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018376.856972,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018407.001037,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018373.358738,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018359.308928,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1493929160.491321,192.168.3.11,443,192.168.100.5,55546
DoS,1,1488018364.727859,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018402.170391,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018375.322519,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018372.701776,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018412.721217,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018402.479586,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018388.044275,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018360.294963,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018374.913012,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018391.206851,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018374.085543,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018376.435415,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018362.719723,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018379.406162,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018413.758776,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018365.828731,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018407.287795,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018408.327715,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018393.498436,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018385.810308,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018381.214642,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018368.56221,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018357.631916,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018381.97215,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018408.323702,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018386.544781,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1493928480.813462,192.168.3.11,443,192.168.100.5,53195
DoS,1,1488018378.78799,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1493928838.571728,192.168.3.11,443,192.168.100.5,55310
DoS,1,1488018382.507926,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018395.962937,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018399.800372,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018412.05371,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018392.698966,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018386.197943,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018372.68416,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018384.227244,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018391.650535,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018394.141321,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018362.381658,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018377.719016,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018383.914335,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018365.211304,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018406.547138,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1493928703.56829,192.168.3.11,443,192.168.100.5,55209
DoS,1,1488018403.496658,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018362.680463,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018373.303294,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018406.707704,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018364.342688,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018400.603855,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018360.172699,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018370.337503,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018385.979034,192.168.3.11,-1,192.168.100.5,-1
DoS,1,1488018384.443372,192.168.3.11,-1,192.168.100.5,-1
Fuzzers,1,1502279714.631659,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279261.924196,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279566.357676,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279207.338311,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279628.552634,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279684.665019,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279156.623692,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279284.746819,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279012.806629,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279151.210552,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279346.467911,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279130.11967,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279029.687958,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279215.610368,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279558.610896,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279638.115326,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279300.793559,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279579.039125,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279486.205657,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279255.044918,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279026.500056,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279664.644399,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279166.696201,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279577.426962,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279522.507012,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279667.658002,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279458.981515,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279341.329164,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279555.139789,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279177.507278,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279224.615906,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279267.746322,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279147.808467,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279357.345454,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279687.067506,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279587.104722,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279210.700687,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279629.013958,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279017.41171,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279290.768685,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279506.991698,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279224.016273,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279672.321366,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279419.347917,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279471.656179,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279037.498993,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279647.710574,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279691.472514,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279090.216051,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279282.537751,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279063.533172,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279286.274029,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279003.49278,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279057.784535,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279188.577567,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279307.695476,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279579.430557,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279128.787096,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279046.112514,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279521.040588,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279381.636208,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279298.419016,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279115.64217,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279322.775723,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279702.178695,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279091.150869,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279484.971254,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279405.257482,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279433.158443,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279573.956002,192.168.2.13,-1,192.168.100.5,-1
Fuzzers,1,1502279030.558661,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270099.447635,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502269812.890948,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270214.628266,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269802.3518,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270096.981249,192.168.2.15,443,192.168.100.5,61406
Generic,1,1502270318.3547,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269895.791753,192.168.2.15,443,192.168.100.5,61406
Generic,1,1502270045.251155,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270150.415552,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270131.409486,192.168.2.15,443,192.168.100.5,61406
Generic,1,1502269709.090395,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502269710.081689,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502269924.354408,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1487598466.131941,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269747.622767,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269712.60764,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270237.064938,192.168.2.15,443,192.168.100.5,61705
Generic,1,1502269868.671852,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270033.569722,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1487598326.156743,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270092.57378,192.168.2.15,443,192.168.100.5,61406
Generic,1,1502270155.997691,192.168.2.15,443,192.168.100.5,61406
Generic,1,1487598334.230659,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270213.275642,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269872.896275,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270317.052053,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270245.121681,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502269789.927311,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269939.346526,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270128.545383,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502270117.529443,192.168.2.15,443,192.168.100.5,61406
Generic,1,1502269893.752913,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502270195.127735,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270162.7772,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502270116.197877,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502269879.815759,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269744.619671,192.168.2.15,443,192.168.100.5,61406
Generic,1,1502269755.032794,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269732.695999,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270036.790487,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502270142.750327,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269913.116432,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269823.32976,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502270154.366281,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502269894.396209,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502270018.689596,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270071.87875,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269925.059413,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270005.892391,192.168.2.15,443,192.168.100.5,61406
Generic,1,1502269844.711197,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502270220.75208,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269756.968159,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270278.142821,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270299.103028,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269967.452827,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502270267.936016,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1487598409.976037,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270088.771728,192.168.2.15,443,192.168.100.5,61406
Generic,1,1502270254.12195,192.168.2.15,443,192.168.100.5,61705
Generic,1,1502270097.836515,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270129.882505,192.168.2.15,-1,192.168.100.5,-1
Generic,1,1502269709.996563,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270316.445234,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270300.229547,192.168.2.15,443,192.168.100.5,61705
Generic,1,1487598466.131941,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269970.716687,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270158.158835,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269722.142185,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269729.754388,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502269855.796239,192.168.2.13,-1,192.168.100.5,-1
Generic,1,1502270321.92723,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268202.14025,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268037.221999,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502267944.194523,192.168.2.15,443,192.168.100.5,58961
MitM,1,1502268231.256605,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268157.857823,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267767.77285,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268114.418211,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268106.036705,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267756.694808,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267800.308835,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267945.719062,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267821.528709,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268239.244692,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268140.714554,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268279.177473,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267924.719915,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267928.445586,192.168.2.15,443,192.168.100.5,58961
MitM,1,1502267740.672616,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268231.263443,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502267911.015924,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267989.908201,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268068.919089,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268100.101282,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268013.315826,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268200.375161,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268275.136098,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267996.991957,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268110.420486,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502268159.592839,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502267812.342936,192.168.2.15,443,192.168.100.5,58961
MitM,1,1502268180.551554,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502267930.826592,192.168.2.15,443,192.168.100.5,58961
MitM,1,1502267949.073854,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502268153.159284,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268093.070567,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502268244.683164,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267836.96184,192.168.2.15,443,192.168.100.5,58961
MitM,1,1502268155.122938,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267990.442446,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502268243.944958,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502267880.262556,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267899.279691,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268139.728492,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267923.834376,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268045.829198,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267745.254232,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267934.173935,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267785.693712,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502268049.629125,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267758.757595,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267878.048791,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268124.704711,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268209.23348,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502268054.631369,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268123.19563,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268123.195435,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267838.155542,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268270.832481,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502267806.740219,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267848.775851,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268146.449388,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267997.888202,192.168.2.15,443,192.168.100.5,58961
MitM,1,1502268068.919089,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267844.040417,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268141.164978,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502267876.393754,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502267819.681548,192.168.2.15,-1,192.168.100.5,-1
MitM,1,1502268174.748381,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268111.296163,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268253.189777,192.168.2.13,-1,192.168.100.5,-1
MitM,1,1502268229.997514,192.168.2.15,-1,192.168.100.5,-1
Normal,0,1493929223.597939,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1487596570.629663,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1488016203.251591,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1493929573.748098,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1488013819.530166,192.168.3.14,-1,192.168.100.5,-1
Normal,0,1502267217.159965,192.168.2.15,443,192.168.100.5,58961
Normal,0,1493927834.615229,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1502108279.820181,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1487596692.901338,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502267560.517446,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1487597269.846904,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1488012118.75276,192.168.100.5,63453,192.168.3.11,443
Normal,0,1488012856.714818,192.168.3.14,-1,192.168.100.5,-1
Normal,0,1487596557.548532,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1493928276.478877,192.168.3.12,-1,192.168.100.5,-1
Normal,0,1488016474.392839,192.168.3.13,-1,192.168.100.5,-1
Normal,0,1487597930.649294,192.168.2.12,-1,192.168.100.5,-1
Normal,0,1487596568.42217,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502108294.965319,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1502110534.811446,192.168.2.15,443,192.168.100.5,50390
Normal,0,1502269416.164844,192.168.2.13,-1,192.168.100.5,-1
Normal,0,1488012522.162513,192.168.3.14,-1,192.168.100.5,-1
Normal,0,1487598445.323322,192.168.2.15,-1,192.168.100.5,-1
Normal,0,1487597121.093793,192.168.2.11,-1,192.168.100.5,-1
Normal,0,1502108917.308821,192.168.2.15,443,192.168.100.5,50390
Normal,0,1487596968.625808,192.168.2.12,-1,192.168.100.5,-1
