attack_cat,label,destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length.1,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
BruteForce,1,21,9142090.0,9,15,96,188.0,20,0,10.666667,8.246211,34,0,12.533334,14.54975,31.06510656,2.625220272,397482.1739,1050612.485,3600744.0,2,6867721,858465.125,1587488.427,3645615,2.0,9141970.0,652997.8571,1299342.518,3600744,3.0,0,0,0,0,296.0,488.0,0.984457602,1.64076267,0,34,11.36,12.352057,152.5733333,0,0,0,1,0,0,0,0,1,11.833333,10.666667,12.533334,296.0,0,0,0,0,0,0,9,96,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,80,5335293.0,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.749724523,1778431.0,3079577.695,5334421.0,92,5335293,2667646.5,3771388.666,5334421,872.0,0.0,0.0,0.0,0,0.0,0,0,0,0,104.0,40.0,0.562293392,0.187431131,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104.0,0,0,0,0,0,0,3,0,1,0.0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,240.0,2,1,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,58333.33333,12500.0,120.0,80.61017306,177.0,63,240,240.0,0.0,240,240.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,20.0,8333.333333,4166.666667,0,14,7.0,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64.0,0,0,0,0,0,0,2,14,1,0.0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,90.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22222.22222,90.0,0.0,90.0,90,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,11111.11111,11111.11111,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,72.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27777.77778,72.0,0.0,72.0,72,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,13888.88889,13888.88889,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,3.0,2,0,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3,3,3.0,0.0,3,3.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,0.0,666666.6667,0.0,0,14,9.333333,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64.0,0,0,0,0,0,0,2,14,0,0.0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,8274984.0,9,15,101,188.0,23,0,11.222222,8.941166,34,0,12.533334,14.54975,34.92453883,2.900307723,359781.913,932551.9037,2822649.0,3,5663538,707942.25,1309256.391,2867238,4.0,8274903.0,591064.5,1150876.15,2822649,3.0,0,0,0,0,296.0,488.0,1.087615396,1.812692327,0,34,11.56,12.503599,156.34,0,0,0,1,0,0,0,0,1,12.041667,11.222222,12.533334,296.0,0,0,0,0,0,0,9,101,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,12088757.0,21,32,2008,2745.0,640,0,95.61905,140.04517,976,0,85.78125,220.24059,393.1752454,4.384239008,232476.0962,629915.0197,2545235.0,3,10100000,506605.3,898032.0274,2592126,501.0,12100000.0,389954.5806,781784.483,2545235,3.0,0,0,0,0,680.0,1032.0,1.737151305,2.647087703,0,976,88.01852,189.59027,35944.47135,0,0,0,1,0,0,0,0,1,89.679245,95.61905,85.78125,680.0,0,0,0,0,0,0,21,2008,32,2745.0,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,9237405.0,9,15,111,188.0,26,0,12.333333,10.148891,34,0,12.533334,14.54975,32.36839783,2.598132268,401626.3043,1042222.227,3135165.0,3,6325502,790687.75,1459578.566,3176963,3.0,9237279.0,659805.6429,1286388.428,3135165,3.0,0,0,0,0,296.0,488.0,0.9742996,1.623832667,0,34,11.96,12.80781,164.04,0,0,0,1,0,0,0,0,1,12.458333,12.333333,12.533334,296.0,0,0,0,0,0,0,9,111,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,19550194.0,33,43,2440,3001.0,640,0,73.93939,116.84229,976,0,69.790695,191.86398,278.3092587,3.887429455,260669.2533,719215.7036,4143477.0,1,17300000,540628.2188,1030944.792,4186920,1.0,19600000.0,465478.4286,914516.1744,4143544,3.0,0,0,0,0,1112.0,1456.0,1.68796279,2.199466665,0,976,70.66234,161.74799,26162.4108,0,0,0,1,0,0,0,0,1,71.5921,73.93939,69.790695,1112.0,0,0,0,0,0,0,33,2440,43,3001.0,29200,247,22,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,10197122.0,9,15,101,188.0,21,0,11.222222,8.7860365,34,0,12.533334,14.54975,28.34133003,2.353605262,443353.1304,1143187.624,3640780.0,3,6513483,814185.375,1477470.352,3399544,286.0,10200000.0,728358.2857,1410004.116,3640780,3.0,0,0,0,0,296.0,488.0,0.882601973,1.471003289,0,34,11.56,12.466889,155.4233333,0,0,0,1,0,0,0,0,1,12.041667,11.222222,12.533334,296.0,0,0,0,0,0,0,9,101,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,67.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,29850.74627,67.0,0.0,67.0,67,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,14925.37313,14925.37313,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,13357499.0,21,32,2024,2745.0,640,0,96.38095,140.18219,976,0,85.78125,220.24059,357.0279137,3.967808644,256874.9808,690405.7862,2309112.0,4,11200000,559237.35,981595.8942,2369671,499.0,13400000.0,430881.7742,856120.0045,2309112,4.0,0,0,0,0,680.0,1032.0,1.572150595,2.395658049,0,976,88.31481,189.64096,35963.69147,0,0,0,1,0,0,0,0,1,89.98113,96.38095,85.78125,680.0,0,0,0,0,0,0,21,2024,32,2745.0,29200,257,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,3.0,2,0,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3,3,3.0,0.0,3,3.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,0.0,666666.6667,0.0,0,14,9.333333,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64.0,0,0,0,0,0,0,2,14,0,0.0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,51.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39215.68627,51.0,0.0,51.0,51,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,19607.84314,19607.84314,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,272.0,2,1,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,51470.58824,11029.41176,136.0,80.61017306,193.0,79,272,272.0,0.0,272,272.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,20.0,7352.941176,3676.470588,0,14,7.0,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64.0,0,0,0,0,0,0,2,14,1,0.0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,8320500.0,9,15,111,188.0,25,0,12.333333,10.185775,34,0,12.533334,14.54975,35.93534042,2.884442041,361760.8696,944196.9543,3161282.0,3,6032904,754113.0,1392134.685,3208032,3.0,8320405.0,594314.6429,1166139.366,3161282,3.0,0,0,0,0,296.0,488.0,1.081665765,1.802776275,0,34,11.96,12.817566,164.29,0,0,0,1,0,0,0,0,1,12.458333,12.333333,12.533334,296.0,0,0,0,0,0,0,9,111,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,80,5247601.0,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.762253075,1749200.333,3028998.922,5246787.0,86,5247601,2623800.5,3709463.082,5246787,814.0,0.0,0.0,0.0,0,0.0,0,0,0,0,104.0,40.0,0.571689806,0.190563269,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104.0,0,0,0,0,0,0,3,0,1,0.0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,217.0,2,1,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,64516.12903,13824.88479,108.5,86.97413409,170.0,47,217,217.0,0.0,217,217.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,20.0,9216.589862,4608.294931,0,14,7.0,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64.0,0,0,0,0,0,0,2,14,1,0.0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,12837678.0,21,32,2008,2745.0,640,0,95.61905,140.04517,976,0,85.78125,220.24059,370.2382939,4.128472454,246878.4231,671573.1682,2567142.0,2,11100000,557451.75,981245.3087,2617294,454.0,12800000.0,414114.871,833815.3291,2567142,2.0,0,0,0,0,680.0,1032.0,1.63580984,2.492662614,0,976,88.01852,189.59027,35944.47135,0,0,0,1,0,0,0,0,1,89.679245,95.61905,85.78125,680.0,0,0,0,0,0,0,21,2008,32,2745.0,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,9870701.0,9,15,106,188.0,23,0,11.777778,9.444281,34,0,12.533334,14.54975,29.78511861,2.431438253,429160.913,1116170.685,3416787.0,3,6524957,815619.625,1512221.094,3464388,208.0,9870603.0,705043.0714,1377999.849,3416787,3.0,0,0,0,0,296.0,488.0,0.911789345,1.519648908,0,34,11.76,12.623655,159.3566667,0,0,0,1,0,0,0,0,1,12.25,11.777778,12.533334,296.0,0,0,0,0,0,0,9,106,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,11558485.0,21,32,2008,2745.0,640,0,95.61905,140.04517,976,0,85.78125,220.24059,411.2130612,4.585376025,222278.5577,594895.1655,2047832.0,4,9651796,482589.8,841302.4548,2101071,90.0,11600000.0,372849.9355,737417.8422,2047832,4.0,0,0,0,0,680.0,1032.0,1.816847104,2.768528921,0,976,88.01852,189.59027,35944.47135,0,0,0,1,0,0,0,0,1,89.679245,95.61905,85.78125,680.0,0,0,0,0,0,0,21,2008,32,2745.0,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,44.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.54545,44.0,0.0,44.0,44,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,22727.27273,22727.27273,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,8582114.0,9,15,101,188.0,21,0,11.222222,8.800253,34,0,12.533334,14.54975,33.67468668,2.796513773,373135.3913,971757.8566,3134936.0,1,5404234,675529.25,1250838.984,2827818,3.0,8582021.0,613001.5,1199889.872,3134936,1.0,0,0,0,0,296.0,488.0,1.048692665,1.747821108,0,34,11.56,12.470231,155.5066667,0,0,0,1,0,0,0,0,1,12.041667,11.222222,12.533334,296.0,0,0,0,0,0,0,9,101,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,3.0,2,0,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3,3,3.0,0.0,3,3.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,0.0,666666.6667,0.0,0,14,9.333333,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64.0,0,0,0,0,0,0,2,14,0,0.0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,240.0,2,1,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,58333.33333,12500.0,120.0,87.68124087,182.0,58,240,240.0,0.0,240,240.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,20.0,8333.333333,4166.666667,0,14,7.0,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,9.333333,7.0,0.0,64.0,0,0,0,0,0,0,2,14,1,0.0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,80.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25000.0,80.0,0.0,80.0,80,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,12500.0,12500.0,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,8950693.0,9,15,93,188.0,18,0,10.333333,7.8740077,34,0,12.533334,14.54975,31.39421719,2.681356628,389160.5652,1001611.829,3148569.0,4,5760033,720004.125,1307913.758,3107389,46.0,8950627.0,639330.5,1235131.165,3148569,4.0,0,0,0,0,296.0,488.0,1.005508735,1.675847892,0,34,11.24,12.278979,150.7733333,0,0,0,1,0,0,0,0,1,11.708333,10.333333,12.533334,296.0,0,0,0,0,0,0,9,93,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,80,5658971.0,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.706842286,1886323.667,3266610.88,5658281.0,122,5658971,2829485.5,4000520.961,5658281,690.0,0.0,0.0,0.0,0,0.0,0,0,0,0,104.0,40.0,0.530131715,0.176710572,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104.0,0,0,0,0,0,0,3,0,1,0.0,29200,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,9814719.0,9,15,99,188.0,22,0,11.0,8.6602545,34,0,12.533334,14.54975,29.2417949,2.445306891,426726.913,1105842.561,3384429.0,3,6386685,798335.625,1467243.12,3212119,3.0,9814589.0,701042.0714,1364706.013,3384429,3.0,0,0,0,0,296.0,488.0,0.916990084,1.528316807,0,34,11.48,12.440257,154.76,0,0,0,1,0,0,0,0,1,11.958333,11.0,12.533334,296.0,0,0,0,0,0,0,9,99,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,4.0,2,0,14,0.0,14,0,7.0,9.899495,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4.0,4,4,4.0,0.0,4,4.0,0.0,0.0,0.0,0,0.0,1,0,0,0,64.0,0.0,500000.0,0.0,0,14,9.333333,8.082904,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64.0,0,0,0,0,0,0,2,14,0,0.0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,13581830.0,20,33,2008,2745.0,640,0,100.4,141.91414,976,0,83.181816,217.28574,349.9528414,3.902272374,261189.0385,707568.9904,2544253.0,3,11600000,611587.1053,1043257.195,2601352,276.0,13600000.0,424429.5938,867339.9904,2544253,3.0,0,0,0,0,648.0,1064.0,1.472555613,2.429716761,0,976,88.01852,189.59027,35944.47135,0,0,0,1,0,0,0,0,1,89.679245,100.4,83.181816,648.0,0,0,0,0,0,0,20,2008,33,2745.0,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,8982510.0,9,15,95,188.0,19,0,10.555555,8.11035,34,0,12.533334,14.54975,31.50567046,2.671858979,390543.913,1014537.716,3134640.0,3,5804804,725600.5,1342231.322,3027599,215.0,8982389.0,641599.2143,1252364.787,3134640,3.0,0,0,0,0,296.0,488.0,1.001947117,1.669911862,0,34,11.32,12.324501,151.8933333,0,0,0,1,0,0,0,0,1,11.791667,10.555555,12.533334,296.0,0,0,0,0,0,0,9,95,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,13014423.0,21,31,2008,2745.0,640,0,95.61905,140.04517,976,0,88.548386,223.315,365.2101979,3.995567072,255184.7647,680307.0425,2448304.0,4,10900000,545303.25,959780.6588,2500846,245.0,13000000.0,433812.4667,847424.6883,2448304,4.0,0,0,0,0,680.0,1000.0,1.613594394,2.381972678,0,976,89.679245,191.00763,36483.91437,0,0,0,1,0,0,0,0,1,91.40385,95.61905,88.548386,680.0,0,0,0,0,0,0,21,2008,31,2745.0,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,11780736.0,22,33,2008,2745.0,640,0,91.27273,138.18214,976,0,83.181816,217.28574,403.455268,4.6686387,218161.7778,608879.0171,2506921.0,7,9890699,470985.6667,874252.0599,2564493,316.0,11800000.0,368144.7812,759511.6059,2506921,7.0,0,0,0,0,712.0,1064.0,1.86745548,2.80118322,0,976,84.875,186.83966,34909.05682,0,0,0,1,0,0,0,0,1,86.41818,91.27273,83.181816,712.0,0,0,0,0,0,0,22,2008,33,2745.0,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,21,8429336.0,9,15,102,188.0,22,0,11.333333,8.930285,34,0,12.533334,14.54975,34.40365884,2.847199352,366492.8696,959266.6429,3203116.0,3,6105036,763129.5,1415356.568,3250721,4.0,8429279.0,602091.3571,1185115.533,3203116,3.0,0,0,0,0,296.0,488.0,1.067699757,1.779499595,0,34,11.6,12.5,156.25,0,0,0,1,0,0,0,0,1,12.083333,11.333333,12.533334,296.0,0,0,0,0,0,0,9,102,15,188.0,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
BruteForce,1,22,44.0,1,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,45454.54545,44.0,0.0,44.0,44,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,32.0,32.0,22727.27273,22727.27273,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1,0,1,0.0,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0,0
